route_key	verb	path	controller	action	environment	owner	disposition
DELETE|/admin/comments/:id|admin/comments|destroy	DELETE	/admin/comments/:id	admin/comments	destroy	production	active_admin_generated	review
DELETE|/admin/forward_email_rules/:id|admin/forward_email_rules|destroy	DELETE	/admin/forward_email_rules/:id	admin/forward_email_rules	destroy	production	active_admin_generated	review
DELETE|/admin/subscriptions/:id|admin/subscriptions|destroy	DELETE	/admin/subscriptions/:id	admin/subscriptions	destroy	production	active_admin_generated	review
DELETE|/admin/users/:id/delete_spam|admin/users|delete_spam	DELETE	/admin/users/:id/delete_spam	admin/users	delete_spam	production	active_admin_generated	review
DELETE|/api/b2/comments/:id|api/b2/comments|destroy	DELETE	/api/b2/comments/:id	api/b2/comments	destroy	production	first_party_production	migrate
DELETE|/api/b2/discussions/:id|api/b2/discussions|destroy	DELETE	/api/b2/discussions/:id	api/b2/discussions	destroy	production	first_party_production	migrate
DELETE|/api/b2/polls/:id|api/b2/polls|destroy	DELETE	/api/b2/polls/:id	api/b2/polls	destroy	production	first_party_production	migrate
DELETE|/api/b3/users/:id|api/b3/users|destroy	DELETE	/api/b3/users/:id	api/b3/users	destroy	production	first_party_production	migrate
DELETE|/api/b3/users/identity/:identity_type/:uid|api/b3/users|destroy_by_identity	DELETE	/api/b3/users/identity/:identity_type/:uid	api/b3/users	destroy_by_identity	production	first_party_production	migrate
DELETE|/api/v1/attachments/:id|api/v1/attachments|destroy	DELETE	/api/v1/attachments/:id	api/v1/attachments	destroy	production	first_party_production	migrate
DELETE|/api/v1/bookmarks/:id|api/v1/bookmarks|destroy	DELETE	/api/v1/bookmarks/:id	api/v1/bookmarks	destroy	production	first_party_production	migrate
DELETE|/api/v1/chatbots/:id|api/v1/chatbots|destroy	DELETE	/api/v1/chatbots/:id	api/v1/chatbots	destroy	production	first_party_production	migrate
DELETE|/api/v1/comments/:id/discard|api/v1/comments|discard	DELETE	/api/v1/comments/:id/discard	api/v1/comments	discard	production	first_party_production	migrate
DELETE|/api/v1/comments/:id|api/v1/comments|destroy	DELETE	/api/v1/comments/:id	api/v1/comments	destroy	production	first_party_production	migrate
DELETE|/api/v1/discussion_templates/:id|api/v1/discussion_templates|destroy	DELETE	/api/v1/discussion_templates/:id	api/v1/discussion_templates	destroy	production	first_party_production	migrate
DELETE|/api/v1/groups/:id/remove_photo/:kind|api/v1/groups|remove_photo	DELETE	/api/v1/groups/:id/remove_photo/:kind	api/v1/groups	remove_photo	production	first_party_production	migrate
DELETE|/api/v1/groups/:id|api/v1/groups|destroy	DELETE	/api/v1/groups/:id	api/v1/groups	destroy	production	first_party_production	migrate
DELETE|/api/v1/memberships/:id|api/v1/memberships|destroy	DELETE	/api/v1/memberships/:id	api/v1/memberships	destroy	production	first_party_production	migrate
DELETE|/api/v1/poll_templates/:id|api/v1/poll_templates|destroy	DELETE	/api/v1/poll_templates/:id	api/v1/poll_templates	destroy	production	first_party_production	migrate
DELETE|/api/v1/polls/:id/discard|api/v1/polls|discard	DELETE	/api/v1/polls/:id/discard	api/v1/polls	discard	production	first_party_production	migrate
DELETE|/api/v1/profile|api/v1/profile|destroy	DELETE	/api/v1/profile	api/v1/profile	destroy	production	first_party_production	migrate
